label_w_size	n	region_size_mb
Anus (N=14)	2759	31.291716
Anus (N=14)	6686	31.291716
Anus (N=14)	2365	31.291716
Anus (N=14)	2980	31.291716
Anus (N=14)	2619	31.291716
Anus (N=14)	1673	31.291716
Anus (N=14)	3557	31.291716
Anus (N=14)	2972	31.291716
Anus (N=14)	2453	31.291716
Anus (N=14)	1964	31.291716
Anus (N=14)	1154	31.291716
Anus (N=14)	1931	31.291716
Anus (N=14)	4960	31.291716
Anus (N=14)	1832	31.291716
Bladder and Urothelial Tract (N=43)	6653	31.291716
Bladder and Urothelial Tract (N=43)	2050	31.291716
Bladder and Urothelial Tract (N=43)	4911	31.291716
Bladder and Urothelial Tract (N=43)	2616	31.291716
Bladder and Urothelial Tract (N=43)	2262	31.291716
Bladder and Urothelial Tract (N=43)	3470	31.291716
Bladder and Urothelial Tract (N=43)	6914	31.291716
Bladder and Urothelial Tract (N=43)	2839	31.291716
Bladder and Urothelial Tract (N=43)	1530	31.291716
Bladder and Urothelial Tract (N=43)	1668	31.291716
Bladder and Urothelial Tract (N=43)	1213	31.291716
Bladder and Urothelial Tract (N=43)	3722	31.291716
Bladder and Urothelial Tract (N=43)	1934	31.291716
Bladder and Urothelial Tract (N=43)	3280	31.291716
Bladder and Urothelial Tract (N=43)	1746	31.291716
Bladder and Urothelial Tract (N=43)	1356	31.291716
Bladder and Urothelial Tract (N=43)	2351	31.291716
Bladder and Urothelial Tract (N=43)	1084	31.291716
Bladder and Urothelial Tract (N=43)	1710	31.291716
Bladder and Urothelial Tract (N=43)	1149	31.291716
Bladder and Urothelial Tract (N=43)	2303	31.291716
Bladder and Urothelial Tract (N=43)	2160	31.291716
Bladder and Urothelial Tract (N=43)	4815	31.291716
Bladder and Urothelial Tract (N=43)	616	31.291716
Bladder and Urothelial Tract (N=43)	3062	31.291716
Bladder and Urothelial Tract (N=43)	3509	31.291716
Bladder and Urothelial Tract (N=43)	3280	31.291716
Bladder and Urothelial Tract (N=43)	3745	31.291716
Bladder and Urothelial Tract (N=43)	4171	31.291716
Bladder and Urothelial Tract (N=43)	4842	31.291716
Bladder and Urothelial Tract (N=43)	1525	31.291716
Bladder and Urothelial Tract (N=43)	2559	31.291716
Bladder and Urothelial Tract (N=43)	5021	31.291716
Bladder and Urothelial Tract (N=43)	7087	31.291716
Bladder and Urothelial Tract (N=43)	3096	31.291716
Bladder and Urothelial Tract (N=43)	2634	31.291716
Bladder and Urothelial Tract (N=43)	3583	31.291716
Bladder and Urothelial Tract (N=43)	1239	31.291716
Bladder and Urothelial Tract (N=43)	982	31.291716
Bladder and Urothelial Tract (N=43)	1928	31.291716
Bladder and Urothelial Tract (N=43)	1894	31.291716
Bladder and Urothelial Tract (N=43)	2364	31.291716
Bladder and Urothelial Tract (N=43)	3132	31.291716
Bone and Soft Tissue (N=23)	129	31.291716
