tissue_id	label
tissue_781	Myeloid Lineage
tissue_186	Myeloid Lineage
tissue_936	Myeloid Lineage
tissue_261	Lung
tissue_495	Ovary
tissue_444	Kidney
tissue_623	Breast
tissue_296	Melanocytic Lineage
tissue_379	Breast
tissue_973	NEC of Lung or Other Organs
tissue_1016	Breast
tissue_12	Ovary
tissue_325	Lung
tissue_365	Kidney
tissue_103	Kidney
tissue_149	Stomach and Esophagus
tissue_660	Head and Neck
tissue_519	Lung
tissue_412	Kidney
tissue_27	Stomach and Esophagus
tissue_456	Breast
tissue_448	Lymphoid Lineage
tissue_331	Lung
tissue_726	Breast
tissue_432	Head and Neck
tissue_410	Stomach and Esophagus
tissue_928	Lung
tissue_960	NEC of Lung or Other Organs
tissue_894	Kidney
tissue_67	Kidney
tissue_896	Kidney
tissue_970	Kidney
tissue_988	Lymphoid Lineage
tissue_632	Kidney
tissue_715	Lymphoid Lineage
tissue_891	Cervix
tissue_813	Ovary
tissue_175	Lymphoid Lineage
tissue_530	Uterus
tissue_549	Lung
tissue_303	Pancreas and Gallbladder
tissue_178	Head and Neck
tissue_126	Breast
tissue_332	Lung
tissue_243	Kidney
tissue_345	Uterus
tissue_619	Kidney
tissue_51	Cervix
tissue_729	Stomach and Esophagus
tissue_780	Ovary
tissue_220	Lung
tissue_670	Lung
tissue_231	NEC of Lung or Other Organs
tissue_719	Stomach and Esophagus
tissue_986	Head and Neck
tissue_237	Stomach and Esophagus
tissue_628	Stomach and Esophagus
tissue_9	Head and Neck
tissue_285	Pancreas and Gallbladder
tissue_394	Cervix
tissue_50	Bladder and Urothelial Tract
tissue_141	NEC of Lung or Other Organs
tissue_618	NEC of Lung or Other Organs
tissue_840	Lung
tissue_733	Colon and Rectum
tissue_1052	NEC of Lung or Other Organs
tissue_762	Head and Neck
tissue_950	Prostate
tissue_283	Liver and Bile Duct
tissue_221	NEC of Lung or Other Organs
tissue_255	Colon and Rectum
tissue_737	Lymphoid Lineage
tissue_146	Stomach and Esophagus
tissue_110	Lymphoid Lineage
tissue_906	Colon and Rectum
tissue_923	Lung
tissue_842	Colon and Rectum
tissue_924	Bladder and Urothelial Tract
tissue_504	Lymphoid Lineage
tissue_831	Kidney
tissue_997	Colon and Rectum
tissue_941	Stomach and Esophagus
tissue_727	Bone and Soft Tissue
tissue_810	Bone and Soft Tissue
tissue_748	Ovary
tissue_855	Cervix
tissue_83	Lung
tissue_1043	NEC of Lung or Other Organs
tissue_542	Lung
tissue_428	Head and Neck
tissue_560	NEC of Lung or Other Organs
tissue_1011	Stomach and Esophagus
tissue_521	Bladder and Urothelial Tract
tissue_876	Head and Neck
tissue_219	Stomach and Esophagus
tissue_561	Bone and Soft Tissue
tissue_508	NEC of Lung or Other Organs
tissue_1050	Kidney
tissue_355	NEC of Lung or Other Organs
tissue_310	Ovary
tissue_598	Lymphoid Lineage
tissue_1055	Stomach and Esophagus
tissue_211	Bone and Soft Tissue
tissue_109	Colon and Rectum
tissue_744	Plasma Cell Lineage
tissue_796	Colon and Rectum
tissue_490	NEC of Lung or Other Organs
tissue_578	Lung
tissue_156	Pancreas and Gallbladder
tissue_736	Lung
tissue_357	Lymphoid Lineage
tissue_765	Prostate
tissue_151	Cervix
tissue_999	Pancreas and Gallbladder
tissue_622	Pancreas and Gallbladder
tissue_450	Stomach and Esophagus
