tmef	expected_tmef	tmef_lcb	tmef_ucb	replicate	cancer_id	noncancer_id	label
1.90016e-5	8.021688826175621e-7	7.233e-7	9.34323e-5	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.92954e-5	2.673897639955572e-6	7.365e-7	9.44046e-5	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.96977e-5	8.021704616150012e-6	7.558e-7	9.56207e-5	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
2.82326e-5	2.673915184470051e-5	1.2979e-6	1.168152e-4	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
6.52565e-5	8.021862519312925e-5	7.4368e-6	1.848083e-4	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
2.038965e-4	2.674090642278498e-4	8.7405e-5	3.77352e-4	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
5.67277e-4	8.023441892916114e-4	3.641121e-4	8.28797e-4	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.0022275503	0.002675846487651568	0.0018061660000000001	0.0027116841	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.0074752482	0.008039269901237593	0.0066980988	0.008320114	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.026935326	0.026935326	0.0253863187	0.0285629103	0	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
3.76989e-5	1.0291114453635736e-6	1.4966e-6	1.799747e-4	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
3.76989e-5	3.4303057953099297e-6	1.4966e-6	1.799747e-4	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
4.1638e-5	1.029035437692691e-5	1.752e-6	1.895064e-4	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
5.5432e-5	3.429461443484288e-5	2.8238e-6	2.215206e-4	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.234184e-4	1.0282759780397312e-4	1.71793e-5	3.416589e-4	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
4.275464e-4	3.421040730699706e-4	2.016536e-4	7.617189e-4	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.0011771082	0.0010207425852993303	7.83224e-4	0.0016801327	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.0042842387	0.003339053483374685	0.0035139005	0.0051636318	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.0119494342	0.009510652949453632	0.0107179923	0.0132840175	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
0.026935326	0.026935326	0.0253863187	0.0285629103	1	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.282888e-4	7.365448795358543e-7	3.34597e-5	2.786199e-4	2	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.282888e-4	2.4551648089975635e-6	3.34597e-5	2.786199e-4	2	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.362703e-4	7.365624806205826e-6	3.8416e-5	2.8922e-4	2	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.522636e-4	2.4553603899344347e-5	4.93001e-5	3.096372e-4	2	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
1.786752e-4	7.367385377460323e-5	6.83731e-5	3.42562e-4	2	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
2.943721e-4	2.4573179144889737e-4	1.531017e-4	4.879417e-4	2	cancer_cfdna_1	noncancer_cfdna_236	liver_bileduct
